#MSM,Making Sense of Location-based Micro-posts Using Stream Reasoning. (7)
#Microposts,A Reverse Approach to Named Entity Extraction and Linking in Microposts. (9)
*SEM@COLING,More or less supervised supersense tagging of Twitter. (5),Text Summarization through Entailment-based Minimum Vertex Cover. (5)
ACL (Poster and Demonstration),TransType2 - An Innovative Computer-Assisted Translation System. (4),Knowledge intensive e-mail summarization in CARPANTA. (4),Finding Anchor Verbs for Biomedical IE Using Predicate-Argument Structures. (4),Subsentential Translation Memory for Computer Assisted Writing and Translation. (4)
ACL (Student Session),Word Alignment Combination over Multiple Word Segmentation. (4)
ACL (System Demonstrations),Personalising Speech-To-Speech Translation in the EMIME Project. (15)
ACL/IJCNLP (Software Demonstrations),Demonstration of Joshua: An Open Source Toolkit for Parsing-based Machine Translation. (9)
ACL/IJCNLP (Student Research Workshop),Insights into Non-projectivity in Hindi. (3),Clustering Technique in Multi-Document Personal Name Disambiguation. (3),Accurate Learning for Chinese Function Tags from Minimal Features. (3)
ACLING,SUAR: Towards Building a Corpus for the Saudi Dialect. (17)
ACM,A History of Personal Workstations (1),Concurrency: the Works of Leslie Lamport (1),Providing Sound Foundations for Cryptography: On the Work of Shafi Goldwasser and Silvio Micali (1)
ACM DEV (4),First impressions on the state of cellular data connectivity in India. (9)
ACM DL,Global Digital Museum: Multimedia Information Access and Creation on the Internet. (10)
ACM J. Educ. Resour. Comput.,Innovative model for information assurance curriculum: A teaching hospital. (12)
ACM J. Exp. Algorithmics,Multi-level Steiner Trees. (11)
ACM Multimedia (2),A flexible image search engine. (7)
ACM Multimedia (Thematic Workshops),Efficient Communications in Training Large Scale Neural Networks. (8)
ACM Multimedia Workshops,Alternating feature spaces in relevance feedback. (5),A novel region-based image retrieval method using relevance feedback. (5),Standards, interoperability and practice: who needs standards anyway? (Panel Session). (5),Effective access to large audiovisual assets based on user preferences. (5),On the evolution of videotext description scheme and its validation experiments for MPEG-7. (5),Key-frame extraction and shot retrieval using nearest feature line (NFL). (5),Associating network flows with user and application information. (5),Proceedings of the 2001 ACM workshops on Multimedia: multimedia information retrieval, Ottawa, ON, Canada, September 30 - October 5, 2001 (5)
ACM Policy,ACM Policy 1998, The ethics and social impact component on Shaping policy in the information age, Washington, DC, USA, May 10-12, 1998, Proceedings (5)
ACM SIGAPL APL Quote Quad,Handling context-sensitive syntactic issues in the design of a front-end for a MATLAB compiler. (5)
ACM SIGMOD Anthology,Multics Relational Data Store (MRDS) (2),Foreword to the Silver Edition (2)
ACM SIGMOD Digit. Rev.,Review - Complexity of Answering Queries Using Materialized Views. (1),Review - Answering Recursive Queries Using Views. (1),Review - DynaMat: A Dynamic View Management System for Data Warehouses. (1),Review - Transient Versioning for Consistency and Concurrency in Client-Server Systems. (1),Review - Towards a Logical Reconstruction of Relational Database Theory. (1),Review - Methodological Framework for Data Warehouse Design. (1),Review - An Array-Based Algorithm for Simultaneous Multidimensional Aggregates. (1),Review - The Benchmark Handbook for Database and Transaction Systems. (1),Review - Exact and Approximate Aggregation in Constraint Query. (1),Review - Decidable Reasoning in Terminological Knowledge Representation Systems. (1),Review - Time Constraints in Workflow Systems. (1),Review - Adaptive Protocols for Information Dissemination in Wireless Sensor Networks. (1),Review - Efficient Processing of Spatial Joins Using R-Trees. (1),Review - R-Trees: A Dynamic Index Structure for Spatial Searching. (1),Review - The Future of Classic Data Administration: Objects + Databases + CASE (1),Review - Query Optimization for XML. (1),Review - Hash Joins and Hash Teams in Microsoft SQL Server. (1),Review - Query Optimization by Predicate Move-Around. (1),Review - Storing and Querying XML Data using an RDMBS. (1),Review - Ripple Joins for Online Aggregation. (1),Review - EXPRESS: A Data EXtraction, Processing, amd REStructuring System. (1),Review - Aqua: A Fast Decision Support Systems Using Approximate Query Answers. (1),Review - Towards Guaranteed Quality and Dependability of Information Services. (1),Review - Relational Databases for Querying XML Documents: Limitations and Opportunities. (1),Review - Using Semi-Joins to Solve Relational Queries (1),Review - Notes on Data Base Operating Systems. (1),Review - Versioning and Configuration Management in an Object-Oriented Data Model (1),Review - Mind Your Vocabulary: Query Mapping Across Heterogeneous Information Sources. (1),Review - Replication and Mobility. (1),Review - Safeguarding Digital Library Contents and Users: Protecting Documents Rather Than Channels. (1),Review - Context-Based Prefetch for Implementing Objects on Relations. (1),Review - Predicate Migration: Optimizing Queries with Expensive Predicates. (1),Review - Atomicity versus Anonymity: Distributed Transactions for Electronic Commerce. (1),Review - WALRUS: A Similarity Retrieval Algorithm for Image Databases. (1),Review - Optimization by Simmulated Annealing. (1),Review - On Modeling and Verification of Temporal Constraints in Production Workflows. (1),Review - A Logical Approach to Multidimensional Databases. (1),Review - Concurrency Control Performance Modeling: Alternatives and Implications. (1),Review - Physical Database Design for Relational Databases. (1),Review - Magic Sets and Other Strange Ways to Implement Logic Programs. (1),Review - The Entity-Relationship Model - Toward a Unified View of Data. (1),Review - Don't Scrap It, Wrap It! A Wrapper Architecture for Legacy Data Sources. (1),Review - High-Performance Extensible Indexing. (1),Review - The GMAP: A Versatile Tool for Physical Data Independence. (1),Review - A Method for On-Line Reorganization of a Database. (1),Review - Digital Library Technology for Locating and Accessing Scientific Data (1),Review - Incomplete Information in Relational Databases (1),Review - Estimating Alphanumeric Selectivity in the Presence of Wildcards. (1),Review - AlphaSort: A RISC Machine Sort. (1),Review - Rewriting of Regular Expressions and Regular Path Queries. (1),Review - Computable Queries for Relational Data Bases. (1),Review - Fast Joins Using Join Indices. (1),Review - Fault Tolerant Design of Multimedia Servers. (1),Review - Hypothetical Datalog: Complexity and Expressibility. (1),Review - On Random Sampling over Joins. (1),Review - Evaluating Functional Joins Along Nested Reference Sets in Object-Relational and Object-Oriented Databases. (1),Review - Temporal Data Management Systems: A Comparative View. (1),Review - Diag-Join: An Opportunistic Join Algorithm for 1:N Relationships. (1),Review - Temporal Logic in Information Systems. (1),Review - Join Synopses for Approximate Query Answering. (1),Review - The Logical Access Path Schema of a Database (1),Review - Multi-Step Processing of Spatial Joins. (1),Review - The Database Language GEM. (1),Review - The Notions of Consistency and Predicate Locks in a Database System. (1),Review - Efficient Locking for Concurrent Operations on B-Trees. (1),Review - Schema Versioning for Multitemporal Relational Databases. (1),Review - Providing Better Support for a Class of Decision Support Queries. (1),Review - A Novel Index Supporting High Volume Data Warehouse Insertion. (1),Review - TerraServer: A Spatial Data Warehouse. (1),Review - Data Mining: An Overview from a Database Perspective. (1),Review - View Indexing in Relational Databases. (1),Review - Data Cube: A Relational Aggregation Operator Generalizing Group-By, Cross-Tab, and Sub-Total. (1),Review - Querying Multiple Features of Groups in Relational Databases. (1),Review - Datawarehousing Has More Colours Than Just Black & White. (1),Review - Supporting Valid-Time Indeterminacy. (1),Review - Authoritative Sources in a Hyperlinked Environment. (1),Review - Multi-Level Multi-Channel Air Cache Designs for Broadcasting in a Mobile Environment. (1),Review - Query Evaluation Techniques for Large Databases. (1),Review - Clustering Categorical Data: An Approach Based on Dynamical Systems (1),Review - Database Tuning - A Principled Approach. (1),Review - Data Processing Spheres of Control. (1),Review - Using Lifetime Predictors to Improve Memory Allocation Performance. (1),Review - An Overview of Data Warehousing and OLAP Technology. (1),Review - An Authorization Mechanism for a Relational Data Base System. (1),Review - Access Path Selection in a Relational Database Management System. (1),Review - XTRACT: A System for Extracting Document Type Descriptors from XML Documents. (1),Review - Temporal Entity-Relationship Models - A Survey. (1),Review - A Majority Consensus Approach to Concurrency Control for Multiple Copy Databases. (1),Review - Mining Association Rules between Sets of Items in Large Databases. (1),Review - On Closed World Data Bases. (1),Review - On Completeness of Historical Relational Query Languages. (1),Review - Object Operations Benchmark. (1),Review - PM3: An Orthogonal Persistent Systems Programming Language - Design, Implementation, Performance. (1),Review - e-Commerce Bargain-Hunting with an UnBun Model. (1),Review - Out of Their Minds: The Lives and Discoveries of 15 Great Computer Scientists. (1),Review - On Instance-Completeness for Database Query Languages involving Object Creation. (1),Review - Implementation of Automatic Lock Determination in C++-based OODBMSs. (1),Review - Semantic Compression and Pattern Extraction with Fascicles. (1),Review - Query Optimization by Simulated Annealing. (1),Review - Update Propagation Protocols For Replicated Databases. (1),Review - Query Processing in Distributed ORION. (1),Review - On the Optimal Nesting Order for Computing N-Relational Joins. (1),Review - Automatic Discovery of Language Models for Text Databases. (1),Review - The R*-Tree: An Efficient and Robust Access Method for Points and Rectangles. (1),Review - Use and usability in a digital library search system (1),Review - Of Nests and Trees: A Unified Approach to Processing Queries That Contain Nested Subqueries, Aggregates, and Quantifiers. (1),Review - Explaining Differences in Multidimensional Aggregates. (1),Review - Integrating Heterogenous Overlapping Databases through Object-Oriented Transformations. (1),Review - Xml-ql: A Query Language for XML (1),Review - Physical Data Independence, Constraints, and Optimization with Universal Plans (1),Review - Relational Transducers for Electronic Commerce (1),Review - Of Objects and Databases: A Decade of Turmoil (1),Review - Data Management for XML: Research Directions. (1),Review - XML, Java, and the Future of the Web. (1),Review - Querying XML Data. (1),Review - The Aqua Approximate Query Answering System. (1),Review - Benchmarking Database Systems A Systematic Approach. (1),Review - Implementation of Two Semantic Query Optimization Techniques in DB2 Universal Database. (1),Review - An Approach to Persistent Programming. (1),Review - MOCHA: A Self-Extensible Database Middleware System for Distributed Data Sources. (1),Review - Data Placement In Bubba. (1),Review - Description Logics in Data Management (1),Review - Integrating Mining with Relational Database Systems: Alternatives and Implications. (1),Review - Equivalence of Relational Algebra and Relational Calculus Query Languages Having Aggregate Functions (1),Review - Role Hierarchies and Constraints for Lattice-Based Access Controls. (1),Review - The Theory of Joins in Relational Databases. (1),Review - EROC: A Toolkit for Building NEATO Query Optimizers. (1),Review - Visualization of Retrieved Documents using a Presentation Server (1),Review - Record-Boundary Discovery in Web Documents. (1),Review - Landmarks: a New Model for Similarity-based Pattern Querying in Time Series Databases. (1)
ACM SIGMOD Workshop on Research Issues in Data Mining and Knowledge Discovery,Extending Data Mining for Spatial Applications: A Case Study in Predicting Nest Locations. (4)
ACM SIGOPS European Workshop,Object-based distributed computation in the Guide operating system. (10)
ACM SIGSOFT Softw. Eng. Notes,The Java Pathfinder Workshop 2019. (38)
ACM Southeast Regional Conference (2),NotiFly: enhancing design through claims-based personas and knowledge reuse. (8)
ACM Stand.,Metrology for information technology. (8)
ACM Symposium on Document Engineering,Multimedia adaptation in ubiquitous environments: benefits of structured multimedia documents. (9)
ACM Trans. Algorithms,On Problems as Hard as CNF-SAT. (9)
ACM Trans. Archit. Code Optim.,Enabling GPGPU Low-Level Hardware Explorations with MIAOW: An Open-Source RTL Implementation of a GPGPU. (11)
ACM Trans. Asian Lang. Inf. Process.,Towards effective strategies for monolingual and bilingual information retrieval: Lessons learned from NTCIR-4. (11),Making MIRACLEs: Interactive translingual search for Cebuano and Hindi. (11)
ACM Trans. Asian Low Resour. Lang. Inf. Process.,Enhancing Shift-Reduce Constituent Parsing with Action N-Gram Model. (8),From Image to Translation: Processing the Endangered Nyushu Script. (8),A Survey of Opinion Mining in Arabic: A Comprehensive System Perspective Covering Challenges and Advances in Tools, Resources, Models, Applications, and Visualizations. (8)
ACM Trans. Comput. Heal.,Put That Needle There: Customized Flexible On-Body Thin-Film Displays for Medical Navigation. (9),Continuous Detection of Physiological Stress with Commodity Hardware. (9)
ACM Trans. Comput. Syst.,Apache REEF: Retainable Evaluator Execution Framework. (27)
ACM Trans. Economics and Comput.,Convergence of Position Auctions under Myopic Best-Response Dynamics. (9)
ACM Trans. Inf. Syst.,Iris: An Object-Oriented Database Management System. (14)
ACM Trans. Intell. Syst. Technol.,An Ensemble Architecture for Learning Complex Problem-Solving Techniques from Demonstration. (37)
ACM Trans. Manag. Inf. Syst.,Blockchains for Business Process Management - Challenges and Opportunities. (32)
ACM Trans. Math. Softw.,An overview of the Trilinos project. (16)
ACM Trans. Model. Perform. Evaluation Comput. Syst.,Quantifying Cloud Performance and Dependability: Taxonomy, Metric Design, and Emerging Challenges. (11)
ACM Trans. Soc. Comput.,No More One Liners: Bringing Context into Emoji Recommendations. (10)
ACM Trans. Web,Individual Judgments Versus Consensus: Estimating Query-URL Relevance. (12)
